epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,15519,0.57122,0.77378,1.10864,0.90645,0.83792,0.92561,0.84044,0.43806,0.58283,0.80267,0.00307,0.00307,0.00307
72,15731.8,0.56911,0.77253,1.10509,0.90594,0.83831,0.92549,0.84067,0.43807,0.58316,0.80244,0.002971,0.002971,0.002971
73,15946.5,0.56525,0.7612,1.10142,0.90821,0.83597,0.92554,0.84045,0.43755,0.58342,0.80208,0.002872,0.002872,0.002872
74,16160.3,0.56131,0.75247,1.09744,0.90886,0.83621,0.92548,0.84013,0.4371,0.58367,0.80204,0.002773,0.002773,0.002773
75,16374.2,0.5587,0.75348,1.09662,0.9108,0.83601,0.92571,0.84011,0.43795,0.58396,0.80241,0.002674,0.002674,0.002674
76,16587.9,0.55831,0.75772,1.09743,0.91035,0.83628,0.92546,0.83957,0.43827,0.58427,0.80292,0.002575,0.002575,0.002575
77,16803.9,0.55613,0.74993,1.09522,0.90889,0.83782,0.92553,0.83931,0.43876,0.58393,0.80331,0.002476,0.002476,0.002476
78,17020,0.55523,0.74963,1.09854,0.90715,0.83713,0.92586,0.83972,0.4393,0.58393,0.80397,0.002377,0.002377,0.002377
79,17236.5,0.55127,0.73435,1.09277,0.91421,0.82894,0.9254,0.83962,0.44016,0.58417,0.80496,0.002278,0.002278,0.002278
80,17451.9,0.55059,0.74399,1.09096,0.91466,0.82973,0.92551,0.83938,0.44035,0.58435,0.80526,0.002179,0.002179,0.002179
81,17673.2,0.54616,0.72659,1.08924,0.91424,0.82948,0.92547,0.83937,0.44042,0.58468,0.80559,0.00208,0.00208,0.00208
82,17894.8,0.53961,0.72694,1.08547,0.91613,0.82818,0.92541,0.83928,0.43982,0.58519,0.80552,0.001981,0.001981,0.001981
83,18115.9,0.53416,0.72697,1.08602,0.91507,0.82757,0.9254,0.83854,0.44034,0.5851,0.80595,0.001882,0.001882,0.001882
84,18336.2,0.53673,0.7253,1.08498,0.91641,0.82702,0.92539,0.83916,0.44027,0.58558,0.80585,0.001783,0.001783,0.001783
85,18557.1,0.53754,0.7236,1.08466,0.91738,0.82582,0.92542,0.83869,0.44142,0.5862,0.80712,0.001684,0.001684,0.001684
86,18777.5,0.53182,0.71533,1.0821,0.91729,0.82553,0.92517,0.83875,0.44189,0.58685,0.80728,0.001585,0.001585,0.001585
87,18997.9,0.53078,0.701,1.0816,0.91674,0.82547,0.92556,0.83803,0.44148,0.58649,0.80681,0.001486,0.001486,0.001486
88,19219.6,0.52921,0.70477,1.08337,0.91694,0.82616,0.92529,0.83783,0.44167,0.58659,0.80723,0.001387,0.001387,0.001387
89,19441.3,0.525,0.70037,1.07778,0.91736,0.82506,0.92491,0.83785,0.44197,0.58688,0.80757,0.001288,0.001288,0.001288
90,19663.7,0.52416,0.70022,1.07709,0.91473,0.82668,0.92465,0.83787,0.44212,0.58712,0.8078,0.001189,0.001189,0.001189
91,19886.4,0.52175,0.5557,1.06423,0.91563,0.82606,0.92477,0.83726,0.44212,0.58739,0.80793,0.00109,0.00109,0.00109
92,20106.9,0.51151,0.53022,1.0568,0.91779,0.82639,0.92512,0.83704,0.44158,0.58729,0.80785,0.000991,0.000991,0.000991
93,20325.8,0.50503,0.52306,1.0544,0.91673,0.82581,0.92505,0.83714,0.44129,0.58836,0.80756,0.000892,0.000892,0.000892
94,20544.1,0.4991,0.50517,1.0508,0.91789,0.82865,0.9252,0.83739,0.44146,0.58845,0.80786,0.000793,0.000793,0.000793
95,20762.7,0.49316,0.5005,1.04613,0.91372,0.82757,0.92435,0.83763,0.44149,0.58889,0.8081,0.000694,0.000694,0.000694
96,20982.4,0.48697,0.49402,1.04215,0.91161,0.83044,0.92475,0.83758,0.44136,0.58914,0.80796,0.000595,0.000595,0.000595
97,21201.9,0.48335,0.48411,1.04107,0.90937,0.83163,0.92419,0.83776,0.44099,0.58882,0.80783,0.000496,0.000496,0.000496
98,21420.6,0.48137,0.48012,1.03832,0.90757,0.83273,0.92449,0.83811,0.44095,0.58831,0.8081,0.000397,0.000397,0.000397
99,21639.1,0.47714,0.47621,1.03534,0.90832,0.83203,0.92438,0.83829,0.44123,0.58896,0.80878,0.000298,0.000298,0.000298
100,21851.7,0.47202,0.46883,1.03114,0.86967,0.86044,0.92357,0.83819,0.4417,0.58928,0.80917,0.000199,0.000199,0.000199
